Plotting labels...
[34m[1mautoanchor: [39m[22mAnalyzing anchors... anchors/target = 5.53, Best Possible Recall (BPR) = 1.0000
     Epoch   gpu_mem       box       obj       cls    labels  img_size
     7/199     11.7G   0.09857   0.06671         0       109       640: 100%|████| 7/7 [00:11<00:00,  1.66s/it]
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|█| 1/1 [00:00<00:0
     Epoch   gpu_mem       box       obj       cls    labels  img_size
     8/199     11.7G   0.09603    0.0662         0       132       640: 100%|████| 7/7 [00:12<00:00,  1.72s/it]
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|█| 1/1 [00:00<00:0
     Epoch   gpu_mem       box       obj       cls    labels  img_size
     9/199     11.7G   0.09509   0.06415         0        89       640: 100%|████| 7/7 [00:10<00:00,  1.51s/it]
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|█| 1/1 [00:00<00:0
     Epoch   gpu_mem       box       obj       cls    labels  img_size
    10/199     11.7G   0.09251   0.06859         0        97       640: 100%|████| 7/7 [00:12<00:00,  1.74s/it]
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|█| 1/1 [00:00<00:0
     Epoch   gpu_mem       box       obj       cls    labels  img_size
    11/199     11.7G   0.08983   0.07052         0        94       640: 100%|████| 7/7 [00:11<00:00,  1.60s/it]
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|█| 1/1 [00:00<00:0
     Epoch   gpu_mem       box       obj       cls    labels  img_size
    12/199     11.7G   0.08838   0.07166         0       136       640: 100%|████| 7/7 [00:12<00:00,  1.73s/it]
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|█| 1/1 [00:00<00:0
     Epoch   gpu_mem       box       obj       cls    labels  img_size
    13/199     11.7G   0.08168   0.06723         0        87       640: 100%|████| 7/7 [00:11<00:00,  1.59s/it]
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|█| 1/1 [00:00<00:0
     Epoch   gpu_mem       box       obj       cls    labels  img_size
